,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,url
1904_20,0.00016734773513561808,0.0,0.0,0.0005733609229311076,0.00736991455219278,0.0,0.0,0.0012217273472472164,0.0,0.0008372344876224161,0.0,0.002700389191166322,0.0,0.001339232298642338,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/20.html
1904_21,0.02342441164034646,0.0,0.0,0.0008521804066656237,0.04225841204560372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03150310184919587,0.004883541393131418,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/21.html
1904_22,0.0,0.006020797800980303,0.0,0.0,0.022852508512162157,0.0,0.0,0.0,0.0,0.012204761147286669,0.0,0.002684650444494302,0.0,0.0,0.000407046288344077,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/22.html
1904_23,0.0,0.0009570359898770306,0.0,0.0022621114536472546,0.008813554146339898,0.00747230144413937,0.0,0.0,0.09007360111069145,0.0,0.0,0.0,0.0,0.013741390040565531,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/23.html
1904_24,0.00015468142940567456,0.0013829606273571017,0.00037750752383203885,0.0,0.0046964055339864495,0.0,0.0,0.0,0.0,0.007066250550317696,0.0,0.004062718927441397,0.0,0.022869103510118973,0.0021442578973639285,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/24.html
1904_25,0.0,0.004957614527787342,0.0,0.0,0.013230369247626514,0.0005574442588380594,0.0,0.0006145329826874301,0.0,0.007954696253671262,0.013934439942944207,0.0018489860858259392,0.0,0.01858849131165255,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/25.html
1904_26,0.0,0.0022683868101793904,0.003683821435516675,0.0,0.02917811910718463,0.0,0.0,0.0,0.0,0.0,0.006779614597968679,0.01968221928692269,0.0,0.0,0.00479094036848778,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/26.html
1904_27,0.0034744654273401463,0.001902391353741801,0.042902964236504124,0.0,0.0,0.005180297647796123,0.0,0.015640748793753524,0.0016966674555652344,0.0,0.0,0.0038773558330837234,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/27.html
1904_28,0.0,0.0,0.0,0.043379226047477,0.025922971153520772,0.0,0.006564283244336768,0.009982098605012892,0.0033086570774111886,0.0,0.003938968355592819,0.0,0.0,0.0,0.0007663590913325899,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/28.html
1904_29,0.0,0.017479670876781813,1.2852742972798681e-05,0.013642735003106152,0.014332264473726607,0.0,0.0,0.0,0.00037104952902253545,0.0,0.018943584070323618,0.028580346266244356,0.0,0.0,0.08681840083187486,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/29.html
1904_30,0.0,0.03022906811775473,0.0,0.0,0.0,0.0,0.0,0.08649655960499023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/30.html
1904_31,0.0,0.01430097022757635,0.0,0.0,0.002106497099134558,0.002588315299776161,0.0,0.028443547307023958,0.0021157503171659415,0.0,0.0,0.021996924480045567,0.0037082121051848272,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/31.html
1904_32,0.0,0.0,0.0,0.0,0.0021048171505545538,0.0,0.0,0.023092972729495644,0.0,0.0,0.0,0.0,0.0,0.028858656034004622,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/32.html
1904_33,0.0,0.0,0.0,0.1070060280340079,0.01860464023942068,0.0,0.0,0.004666908475089808,0.0,0.0,0.0,0.00037955605326211707,0.0,0.0,0.012493268712172002,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/33.html
1904_34,0.0,0.0,0.0,0.0,0.04751760628244143,0.0,0.007032889520555803,0.0,0.0,0.0,0.0,0.000122716746868464,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/34.html
1904_35,0.0,0.0005262277839155063,0.0,0.0,0.0261838201695872,0.0,0.0,0.0,0.0,0.011855986370497333,0.0037057334090205233,0.002809209252160433,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/35.html
1904_36,0.0,0.0005795736707206758,0.0,0.0,0.007871040190708032,0.0,0.0,0.0,0.0016201723072220803,0.0,0.018357785749584514,0.004304513454473749,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/36.html
1904_37,0.0,0.05708686324774454,0.000526013123028143,0.0,0.0019620834831039773,0.0,0.0017403466744236363,0.006696292762715716,0.020765181039492833,0.0,0.0,0.0,0.0,0.005900326294226756,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/37.html
1904_38,0.0,0.013521333365537175,0.01531279244207764,0.003309246727892858,0.04914562901141445,0.0,0.0,0.0,0.0,0.003187302200678358,0.0014323568167471663,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/38.html
1904_39,0.0,0.0,0.1268876137073559,0.0,0.017394366017941962,0.0,0.0,0.0,0.0,0.0,0.0,0.015003070812624445,0.002947721016373007,0.005316939793370085,0.004523620871936784,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/39.html
1904_40,0.0,0.008139834888353029,0.0,0.0,0.001304036093848367,0.0,0.0,0.0022896045023362488,0.0,0.004091193450211828,0.0,0.001329228813307089,0.05430652035601497,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/40.html
1904_41,0.0,0.0,0.0026062361743745288,0.004040112482349757,0.00781763158355515,0.0,0.00597128080030139,0.010307119500827118,0.0,0.0,0.0,0.07274275653331345,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/41.html
1904_42,0.0,0.0033939796422479624,0.0,0.0,0.0,0.00685810754570567,0.0,0.0,0.09213670642634951,0.0,0.0,0.03815120625263266,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/42.html
1904_43,0.0,0.010345692783083522,0.0,0.0044676333529428975,0.016962032054483465,0.008569278380225798,0.001898025299584675,0.011293891071493055,0.01312958478852542,0.0,0.006749241784696412,0.010290800026650525,0.0,0.0010065260095044215,0.001187679586153608,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/43.html
1904_44,0.0,0.04228896375002784,0.0003262795275835375,0.0,0.00043476993520584945,7.969360405375969e-05,0.0,0.0,0.004829449291960664,0.0,0.0,0.027993799846921456,0.0,0.0,0.0023023294740347434,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/44.html
1904_45,0.001547959512814768,0.002577421992069852,0.0,0.0,0.0028362941933229584,0.012837186726721768,0.0,0.0,0.047464325070912854,0.0,0.0,0.03576356997325531,0.002044392029793733,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/45.html
1904_46,0.0,0.0,0.0,0.0,0.02992916380411873,0.018642886469929402,0.0,0.0009358078553580372,0.0,0.0,0.0,0.0,8.271758737005007e-05,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/46.html
1904_47,0.043620251436276375,0.005442021037879895,0.0,0.03787187386492315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02805766706831109,0.0,0.0,0.08746603408769346,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/47.html
1904_48,0.0,0.001058337220467976,0.0,0.0,0.02794060130628941,0.0,0.0,0.0,0.0012632281009997068,0.0,0.002242399594429683,0.0,0.003359901119086555,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/48.html
1904_49,0.0,0.0020550202278403445,0.0,0.0,0.02702113655065538,0.0,0.0,0.0,0.000774485292060556,0.0,0.0,0.0,0.004477665882449626,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/49.html
1904_50,0.02913265952474407,0.0,0.0,0.04671050555943231,0.08603145398400455,0.00020711744252210765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/50.html
1904_51,0.0,0.01275189013267028,0.0,0.006167448137081257,0.012890904370710226,0.014867189932501985,0.0,0.0003467151357460992,0.020119962577023618,0.0,0.0,0.05276268633276337,0.008310686190173519,0.002015350387020453,0.005702052694454042,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/51.html
1904_52,0.0,0.0,0.0,0.002486504329957706,0.0071269736657683614,0.014702883049515694,0.0,0.0,0.0013045299628310612,0.0,0.0,0.026782335483246326,0.0,0.037198529861811394,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/52.html
1904_53,0.0,0.0,0.0,0.006984634365464753,0.04287348887857574,0.0034674169229956704,0.0,0.0,0.003968649333606114,0.006080100187863305,0.0,0.004700345972606971,0.0,0.0020501779599155726,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/53.html
1904_54,0.0006192095056536088,0.0514418747692382,0.0012462788336680903,0.0,0.0,0.007782439607147788,0.0028285196337818177,0.044671083525731715,0.007072617238836945,0.0,0.0,0.009423323854422698,0.0,0.0012489968192776692,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/54.html
1904_55,0.0,0.009207830820197292,0.0,0.0,0.054613897023780854,0.003735151465320532,0.0,0.0,0.0,0.0,0.0010480681063360258,0.0015644879312296793,0.001662935312700674,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/55.html
1904_56,0.0,0.004230464105585089,0.011697112738259267,0.003498569885754376,0.03271337422111159,0.0013396387683543467,0.0,0.0,0.0,0.0050815725237569566,0.015551601126407731,0.0,0.000438844438009758,0.0,0.0012475162042462746,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/56.html
1904_57,0.05166336985059918,0.0,0.0,6.665450884797786e-05,0.10143868433711985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/57.html
1905_1,0.0,0.001173819544290779,0.0,0.02552429045321844,0.0003283717227283588,0.052003795525637074,0.0,0.0,0.0024217066763023804,0.0,0.0,0.018556195015844327,0.01677167626870722,0.0,0.011285381658747295,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/1.html
1905_2,0.0,0.0002289088427003715,0.000801909763787288,0.00688057697020833,0.013648781003902644,0.002631538833416534,0.0,0.0,0.0,0.0,0.0,0.01691597693782669,0.0008624782240995217,0.0,0.09156037077912059,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/2.html
1905_3,0.0,0.0,0.0,0.0,0.004348646186837496,0.0,0.0,0.0,0.0,0.0,0.009560959943125325,0.004625202129742094,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/3.html
