,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,url
1904_29,0.0,0.01685747034217801,2.1757249736763904e-05,0.039599497408951544,0.019932682647873037,0.0,0.0,0.03780017488687283,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/29.html
1904_30,0.0,0.05330942110062088,0.0,0.0,0.0,0.0,0.02992342347796661,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/30.html
1904_31,0.0,0.021777513010448425,0.0,0.0,0.0028185136431062912,0.003988846493696699,0.008295891602717797,0.023481247686553894,0.00220663031508489,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/31.html
1904_32,0.0,0.003210156951545822,0.0,0.00016344988064308092,0.01366570018746926,0.0,0.005271457191809367,0.00034992530713658576,0.00023834281057781188,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/32.html
1904_33,0.0,0.0,0.0,0.10786963040792327,0.01423753593221149,0.0,0.0019791899860406295,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/33.html
1904_34,0.0005564773145897923,0.0,0.0,0.0,0.03998249226708916,0.0,0.00477511268238345,0.00044684242217172404,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/34.html
1904_35,0.0,0.0,0.0,0.0,0.025261992204482348,0.0,0.0,0.002746764143939183,0.0,0.01270768964980252,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/35.html
1904_36,0.0,0.0009840148566335428,0.0,0.0,0.0161167870967711,0.0,0.0,0.003765481203487111,0.001159126020465219,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/36.html
1904_37,0.0,0.059817414783575655,0.0008428859393422571,0.0,0.002210549858123762,0.0,0.0014443593956917882,0.0,0.021298072147479204,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/37.html
1904_38,0.0,0.010743130777768376,0.015310107475532325,0.0037800703260741472,0.0457455554734001,0.0,0.0,0.0,0.0,0.005270353989574985,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/38.html
1904_39,0.0,0.0,0.12642680132866457,0.0,0.0169093535901642,0.0,0.0,0.016832202733167035,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/39.html
1904_40,0.0,0.011365025603651373,0.0,0.0,0.0057558800322558635,0.014986414977824242,0.0006992081485097058,0.0,0.0,0.0038464039068978636,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/40.html
1904_41,0.0,0.0,0.0028395857620848374,0.0024683984751033474,0.005637934053397188,0.0,0.009167053920677393,0.07248949710453018,0.0,0.0003003178114761599,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/41.html
1904_42,0.0,0.0029177332058438273,0.0,0.0,0.0,0.007226578901853452,0.0,0.03633196814053271,0.09138082486703163,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/42.html
1904_43,0.0,0.01095650372215562,0.0,0.0043685266944940146,0.01976043259931808,0.006874601343352141,0.007072841340613682,0.011892016165066988,0.013000882007467964,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/43.html
1904_44,0.0,0.04275254913596198,0.00015042499639463975,0.0,0.0,0.0,0.0,0.02899601085080455,0.004334234419726191,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/44.html
1904_45,0.0016485581322226222,0.0021641389240718576,0.0,0.0,0.002120804829923272,0.011587539324699405,0.0,0.03602942906833947,0.04733168378380103,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/45.html
