,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,url
1937_44,0.0019460013703897657,0.005875494695493447,0.0,0.00036902179408057064,0.005121280956793015,0.0,0.0,0.0,0.0015564356727491052,0.0023952703047611726,0.008025640338317654,0.0005450274280584061,0.07615338984563949,0.01308145083155976,0.0,0.0006076283311132824,0.0,0.0009460848519747176,0.0,0.007573732478536211,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/44.html
1937_45,0.0013686516580752408,0.002210290682542267,0.0,0.05856221732092877,0.0030993617467833376,0.0,0.0,0.0007807548238529796,0.00816188461538994,0.0,0.00023963750541478756,0.0,0.0,0.016853734458764317,0.0,0.026786022908901228,0.003929409103829761,0.0005772918437537144,0.0,0.0032089781851815406,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/45.html
1937_46,0.0,0.003456463969405708,0.0,0.0,0.00432958396408377,0.04397536073227341,0.03270607286873689,0.0,0.0,0.0,0.0,0.0,0.004356213935106995,0.0,0.0,0.051631874756607854,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/46.html
1937_47,0.0,0.0001362794719055156,0.0,0.0,0.015702953194783105,2.9592591002384537e-05,0.003170338549829255,0.0,0.0,0.0,0.012470245826266416,0.0,0.0,0.04146802814562018,0.0,0.0,0.016175088939463903,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/47.html
1937_48,0.002440779264544629,0.0063737871475752625,0.0,0.0,0.0,0.003889168090333497,0.0,0.0,0.019973313278148774,0.05440814966678674,0.0,0.10212777410418583,0.0,0.0014339924015970781,0.0,0.0,0.0,0.0,0.00011069922517774394,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/48.html
1937_49,0.0,0.0,0.0,0.0,0.0,0.02205014380343895,0.0026767023256133744,0.0,0.0,0.0,0.0,0.0,0.07737728496861956,0.027580735331918002,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/49.html
1937_50,0.0,0.0,0.028321431632859082,0.0,0.0,0.0,0.018230910387338164,0.009291378767502493,0.0,0.0,0.0,0.0,0.0,0.08565347457991235,0.0,0.0,0.0,0.0,0.006222069292646622,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/50.html
1937_51,0.0,0.0053125515716148574,0.0,0.0,0.0,0.0,0.0,0.0,0.004187356928011404,0.0,0.0,0.0,0.0,0.003156249440865869,0.0,0.0,0.06923740558345294,0.000557667150384034,0.0,0.002547061330321287,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/51.html
1937_52,0.0,0.0,0.0,0.018196970815268228,0.0,0.06685576804860308,0.0,0.0,0.0,0.0,0.0,0.0,0.055127682737120196,0.0,0.0,0.0,0.0,0.0,0.0,0.07900731143734707,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/52.html
1937_53,0.0,0.10637971964612812,0.0,0.0,0.0,0.0021698217777722617,0.0,0.0,0.0,0.020639958082799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/53.html
1937_54,0.0,0.008322049093889426,0.009568798920291943,0.0,0.024664142912584813,0.0,0.0,0.00014679481564570834,0.0,0.022754227357697256,0.0033808772656443897,0.09679546723168038,0.0,0.00293610964988543,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/54.html
1937_55,0.0,0.0,0.0,0.0,0.00010413694553757149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055185937290912835,0.0,0.01339914685259283,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/55.html
1937_56,0.0,0.11092691591134282,0.0,0.0,0.0,0.0,0.0,0.0,0.00040709091482484075,0.05646701972641422,0.0,0.0013272386108836084,0.008464354172805978,0.0013841867565987532,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/56.html
1937_57,0.03729284191540223,0.0,0.0,0.0,0.008682978189632375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00451330083243978,0.0003934089978966832,0.0,0.0,0.03003769701343115,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/57.html
1937_58,0.0,6.167665685022487e-05,0.002324035620307621,0.0025264821020834598,0.0013791310443198631,0.0,0.0,0.0006220092379655064,0.024028538573431055,0.0,0.0,0.0,0.0,0.0026275441329738267,0.009208599092921467,0.007555887333444045,0.0,0.0,0.0,0.008778796420246792,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/58.html
1937_59,0.0,0.0002776143124075294,0.0015338027291138515,0.0,0.00788539650522743,0.0,0.0,0.002175776223141506,0.0,0.0,0.0,0.010039533795159993,0.09691388753174747,0.0,0.0,0.0,0.0,0.006200718204807928,0.0,0.006349552794027982,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/59.html
1937_60,3.780977059202277e-05,0.0,0.0,0.0,0.016250911164056147,0.0009935484054739159,0.0,0.0,0.0006870928672078877,0.0,0.0,0.00015458773625496525,0.0,0.06444946715593328,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/60.html
1937_61,0.05077547650370992,0.0,0.0,0.00022250560607008904,0.0,0.0,0.003292852779257043,0.0,0.06764165667879984,0.0,0.0,0.003144425669070265,0.0,0.0009474237974236526,0.0,0.0,0.0,0.0,0.019951125624499515,0.005038379481857546,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/61.html
1937_62,0.004437805205511467,0.0,0.0,0.0818754975608636,0.0,0.018298092180780153,0.0,0.0,0.001514164756514515,0.0,0.0,0.025951098770056743,0.003609954568129772,0.0,0.022529030192873906,0.0,0.0,0.0,0.04961827151047299,0.02729602251990381,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/62.html
1937_63,0.0,0.0015209818521986892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031143209851026743,0.0,0.0033878447320956954,0.0,0.11110147366253809,0.0,4.014090043574459e-05,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/63.html
1937_64,0.0069872685487400105,0.0,0.0,0.011255273008814196,0.0021572776768687737,0.0757834985267055,0.0,0.0,0.0,0.0,0.0,0.0,0.004327068207012619,0.004954352327592978,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/64.html
1937_65,0.0,0.0,0.0,0.0011294404545086527,0.0,0.0,0.0,0.0,0.0,0.042422771029546634,0.01673330611837383,0.0,0.0,0.011775674883844164,0.0,0.003515703672914733,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/65.html
1937_66,0.0,0.008319284940220027,0.0004820562159474018,0.0005607184843462785,0.0,0.0,0.0,0.0,0.00017330913176612724,0.0,0.0,0.0016140574316364786,0.14897472405727508,0.0016627766304997162,0.0,0.0006647133683687502,0.0,0.0,0.0,0.006800313523717127,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/66.html
1937_67,0.0,0.000875142765081352,0.018368753387454535,0.0,0.0,0.0022516660877624855,0.06571131513383544,0.0,0.0,0.0,0.0,0.0,0.0008018710963151894,0.029082127801979767,0.0,0.018316468510684622,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/67.html
1937_68,0.0013277714216971737,0.0,0.01296953226334414,0.0,0.0,0.0,0.04301338883650539,0.06365702442324503,0.03222284369866798,0.0,0.0,0.0,0.0,0.015933566622665374,0.0,0.0,0.0,0.0,0.0,0.037997262626734966,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/68.html
